sample_id,image_path,class_idx,synset_id,sample_in_class
0,data/imagenet-val/n01498041/ILSVRC2012_val_00038215.JPEG,6,n01498041,0
1,data/imagenet-val/n01629819/ILSVRC2012_val_00001816.JPEG,25,n01629819,0
2,data/imagenet-val/n01631663/ILSVRC2012_val_00040592.JPEG,27,n01631663,0
3,data/imagenet-val/n01641577/ILSVRC2012_val_00005045.JPEG,30,n01641577,0
4,data/imagenet-val/n01644900/ILSVRC2012_val_00039996.JPEG,32,n01644900,0
5,data/imagenet-val/n01819313/ILSVRC2012_val_00022806.JPEG,89,n01819313,0
6,data/imagenet-val/n01833805/ILSVRC2012_val_00035726.JPEG,94,n01833805,0
7,data/imagenet-val/n01843065/ILSVRC2012_val_00007284.JPEG,95,n01843065,0
8,data/imagenet-val/n01877812/ILSVRC2012_val_00004845.JPEG,104,n01877812,0
9,data/imagenet-val/n01945685/ILSVRC2012_val_00031728.JPEG,114,n01945685,0
10,data/imagenet-val/n02033041/ILSVRC2012_val_00020205.JPEG,142,n02033041,0
11,data/imagenet-val/n02087394/ILSVRC2012_val_00001651.JPEG,159,n02087394,0
12,data/imagenet-val/n02088466/ILSVRC2012_val_00024090.JPEG,163,n02088466,0
13,data/imagenet-val/n02098286/ILSVRC2012_val_00013573.JPEG,203,n02098286,0
14,data/imagenet-val/n02102480/ILSVRC2012_val_00015205.JPEG,220,n02102480,0
15,data/imagenet-val/n02104365/ILSVRC2012_val_00026956.JPEG,223,n02104365,0
16,data/imagenet-val/n02105162/ILSVRC2012_val_00016658.JPEG,225,n02105162,0
17,data/imagenet-val/n02105505/ILSVRC2012_val_00008939.JPEG,228,n02105505,0
18,data/imagenet-val/n02107574/ILSVRC2012_val_00018178.JPEG,238,n02107574,0
19,data/imagenet-val/n02110185/ILSVRC2012_val_00049291.JPEG,250,n02110185,0
20,data/imagenet-val/n02123045/ILSVRC2012_val_00044027.JPEG,281,n02123045,0
21,data/imagenet-val/n02123597/ILSVRC2012_val_00005466.JPEG,284,n02123597,0
22,data/imagenet-val/n02398521/ILSVRC2012_val_00036081.JPEG,344,n02398521,0
23,data/imagenet-val/n02412080/ILSVRC2012_val_00040492.JPEG,348,n02412080,0
24,data/imagenet-val/n02514041/ILSVRC2012_val_00020803.JPEG,389,n02514041,0
25,data/imagenet-val/n02799071/ILSVRC2012_val_00043962.JPEG,429,n02799071,0
26,data/imagenet-val/n02804610/ILSVRC2012_val_00003370.JPEG,432,n02804610,0
27,data/imagenet-val/n02892767/ILSVRC2012_val_00040863.JPEG,459,n02892767,0
28,data/imagenet-val/n03126707/ILSVRC2012_val_00000020.JPEG,517,n03126707,0
29,data/imagenet-val/n03372029/ILSVRC2012_val_00012964.JPEG,558,n03372029,0
30,data/imagenet-val/n03445777/ILSVRC2012_val_00003793.JPEG,574,n03445777,0
31,data/imagenet-val/n03538406/ILSVRC2012_val_00014022.JPEG,603,n03538406,0
32,data/imagenet-val/n03544143/ILSVRC2012_val_00034522.JPEG,604,n03544143,0
33,data/imagenet-val/n03627232/ILSVRC2012_val_00012368.JPEG,616,n03627232,0
34,data/imagenet-val/n03769881/ILSVRC2012_val_00008195.JPEG,654,n03769881,0
35,data/imagenet-val/n03785016/ILSVRC2012_val_00000853.JPEG,665,n03785016,0
36,data/imagenet-val/n03871628/ILSVRC2012_val_00046027.JPEG,692,n03871628,0
37,data/imagenet-val/n03929660/ILSVRC2012_val_00030950.JPEG,714,n03929660,0
38,data/imagenet-val/n03933933/ILSVRC2012_val_00010358.JPEG,718,n03933933,0
39,data/imagenet-val/n03976657/ILSVRC2012_val_00030045.JPEG,733,n03976657,0
40,data/imagenet-val/n04041544/ILSVRC2012_val_00035362.JPEG,754,n04041544,0
41,data/imagenet-val/n04067472/ILSVRC2012_val_00044147.JPEG,758,n04067472,0
42,data/imagenet-val/n04069434/ILSVRC2012_val_00007364.JPEG,759,n04069434,0
43,data/imagenet-val/n04141327/ILSVRC2012_val_00021381.JPEG,777,n04141327,0
44,data/imagenet-val/n04149813/ILSVRC2012_val_00022294.JPEG,781,n04149813,0
45,data/imagenet-val/n04326547/ILSVRC2012_val_00047787.JPEG,825,n04326547,0
46,data/imagenet-val/n04332243/ILSVRC2012_val_00009360.JPEG,828,n04332243,0
47,data/imagenet-val/n04540053/ILSVRC2012_val_00038225.JPEG,890,n04540053,0
48,data/imagenet-val/n04606251/ILSVRC2012_val_00043800.JPEG,913,n04606251,0
49,data/imagenet-val/n09472597/ILSVRC2012_val_00015387.JPEG,980,n09472597,0
