model,method,LeRF,MoRF,gap_LeRF_minus_MoRF
resnet50,IntegratedGradients,0.487878031283617,0.2255758410326962,0.26230219025092083
resnet50,GradCAM,0.49900767654180533,0.20321139689767737,0.29579627964412797
resnet50,LRP,0.49849842116236687,0.1197549563134089,0.37874346484895793
resnet50,Random,0.24689779927139172,0.24117064192250837,0.005727157348883349
vit_base,IntegratedGradients,0.3682587780058384,0.3274373412132263,0.040821436792612076
vit_base,GradCAM,0.38796665817499154,0.19782806619186888,0.19013859198312266
vit_base,Chefer-LRP,0.3887659206986428,0.21183896481088596,0.17692695588775684
vit_base,Random,0.3324367508292198,0.3283274066634477,0.004109344165772133
mobilevit_s,IntegratedGradients,0.35598791223019366,0.13043504884662976,0.2255528633835639
mobilevit_s,GradCAM,0.40784542560577397,0.12297219507745469,0.28487323052831925
mobilevit_s,Random,0.1608749027913291,0.17217439982123323,-0.011299497029904126
