model,method,n,median_diff,iqr_lower,iqr_upper,min_diff,max_diff,n_flipped,pct_flipped
resnet50,IntegratedGradients,1000,0.0935147289186716,0.0014883888103213393,0.2573736884136451,-0.3244142936804565,0.4749801545323279,189,18.9
resnet50,GradCAM,1000,0.1652124155225465,0.029639708064496506,0.2935708886932843,-0.08162673687911609,0.47439956710750264,32,3.2
resnet50,LRP,1000,0.2472213280503638,0.09219785583409246,0.3685334011985105,-0.2665671872691746,0.47491380839514935,81,8.1
resnet50,Random,1000,-0.000243353775022087,-0.032676285343634905,0.03259365625635842,-0.3031704310851636,0.2557517148903571,514,51.4
vit_base,IntegratedGradients,1000,0.01636545318397113,-0.00954047352424826,0.07764096189457632,-0.2720421109464951,0.39916352748405187,339,33.9
vit_base,GradCAM,1000,0.11395067287376148,0.02790799885988235,0.20182846793904902,-0.16454788222908973,0.41627872004173694,116,11.6
vit_base,Chefer-LRP,1000,0.10703125661239027,0.031053929899644568,0.18201972589158683,-0.09138523414731024,0.4125928351422772,97,9.7
vit_base,Random,1000,0.0010000765323638916,-0.018300073174759755,0.022158093377947788,-0.2277753369970014,0.1556544117629528,482,48.2
mobilevit_s,IntegratedGradients,1000,0.11643438342071025,0.010112009345459642,0.25849145049924116,-0.40251052582898406,0.45190707519068385,185,18.5
mobilevit_s,GradCAM,1000,0.1645594391113264,0.03947893320555522,0.28475324503924637,-0.20795448842691258,0.4691081446064345,105,10.5
mobilevit_s,Random,1000,-0.000833113860471724,-0.03028660424770349,0.022418716367792513,-0.3350947501137853,0.24559702202677725,543,54.3
